frame,time_s,position_mm,raw_x,raw_y,points_tracked
312,24.2696,260.96,1737,493,1
313,24.3362,260.96,1737,493,1
314,24.4327,260.91,1737,494,1
315,24.4977,260.85,1736,492,1
316,24.5646,260.91,1737,494,1
317,24.6404,260.53,1734,492,1
318,24.736,260.64,1735,493,1
319,24.8042,261.01,1737,492,1
320,24.8694,260.8,1736,493,1
321,24.9496,260.8,1736,493,1
322,25.0453,260.8,1736,493,1
323,25.143,260.8,1736,493,1
324,25.242,260.8,1736,493,1
325,25.3068,260.8,1736,493,1
326,25.3713,260.8,1736,493,1
327,25.4366,260.8,1736,493,1
328,25.5013,260.8,1736,493,1
329,25.5678,260.8,1736,493,1
330,25.6329,260.96,1737,493,1
331,25.7005,260.8,1736,493,1
332,25.765,260.96,1737,493,1
333,25.8412,260.96,1737,493,1
334,25.9104,261.12,1738,493,1
335,25.9745,261.01,1737,492,1
336,26.0384,260.75,1736,494,1
337,26.1031,260.8,1736,493,1
338,26.1679,260.75,1736,494,1
339,26.2337,260.8,1736,493,1
340,26.2996,260.8,1736,493,1
341,26.371,261.01,1737,492,1
342,26.467,260.8,1736,493,1
343,26.5392,260.8,1736,493,1
344,26.603,260.59,1735,494,1
345,26.7024,260.75,1736,494,1
346,26.7686,260.96,1737,493,1
347,26.8366,260.91,1737,494,1
348,26.9316,260.8,1736,493,1
349,27.0001,260.96,1737,493,1
350,27.0734,260.8,1736,493,1
351,27.1458,260.8,1736,493,1
352,27.2121,260.8,1736,493,1
353,27.2792,260.96,1737,493,1
354,27.3424,260.8,1736,493,1
355,27.4086,260.8,1736,493,1
356,27.4723,260.8,1736,493,1
357,27.5371,260.8,1736,493,1
358,27.6342,260.8,1736,493,1
359,27.7002,260.96,1737,493,1
360,27.7681,260.96,1737,493,1
361,27.8648,260.96,1737,493,1
362,27.9383,260.96,1737,493,1
363,28.0032,261.17,1738,492,1
364,28.0689,260.96,1737,493,1
365,28.1408,260.85,1736,492,1
366,28.2346,261.01,1737,492,1
367,28.3036,260.75,1736,494,1
368,28.3752,260.96,1737,493,1
369,28.439,260.96,1737,493,1
370,28.5059,260.8,1736,493,1
371,28.6002,260.96,1737,493,1
372,28.6663,260.85,1736,492,1
373,28.7658,260.8,1736,493,1
374,28.8344,260.64,1735,493,1
375,28.9318,260.8,1736,493,1
376,29.0004,260.8,1736,493,1
377,29.0648,261.01,1737,492,1
378,29.1357,260.96,1737,493,1
379,29.2323,260.8,1736,493,1
380,29.3003,260.75,1736,494,1
381,29.3648,261.01,1737,492,1
382,29.4378,260.8,1736,493,1
383,29.5026,260.8,1736,493,1
384,29.5989,260.96,1737,493,1
385,29.6661,260.8,1736,493,1
386,29.7447,260.96,1737,493,1
387,29.8403,260.8,1736,493,1
388,29.9054,260.8,1736,493,1
389,29.9702,260.8,1736,493,1
390,30.0365,260.96,1737,493,1
391,30.1099,260.8,1736,493,1
392,30.2077,260.96,1737,493,1
393,30.3018,260.96,1737,493,1
394,30.4089,260.96,1737,493,1
395,30.4733,260.96,1737,493,1
396,30.6177,260.48,1734,493,1
397,30.7147,260.96,1737,493,1
398,30.7797,260.85,1736,492,1
399,30.8442,260.75,1736,494,1
400,30.9089,261.01,1737,492,1
401,30.9714,260.75,1736,494,1
