frame,time_s,raw_x,raw_y,mm_per_pixel,tags_tracked,tag_ids,pose_x,pose_y,pose_z,pose_err
26,3.0674,1498.76,754.75,0.261221,1,5,142.185,56.696,382.667,0.0
27,3.1656,1493.91,754.75,0.260939,1,5,140.641,56.589,381.955,0.0
28,3.2671,1487.52,754.65,0.261083,1,5,138.86,56.515,381.721,0.0
29,3.3664,1479.75,754.5,0.261352,1,5,137.16,56.618,382.654,0.0
30,3.4875,1473.58,754.46,0.261233,1,5,135.523,56.574,382.623,0.0
31,3.6009,1455.39,754.05,0.260669,1,5,130.79,56.511,382.795,0.0
32,3.701,1442.57,753.89,0.260691,1,5,126.761,56.207,380.923,0.0
33,3.8004,1428.25,753.65,0.261234,1,5,123.05,56.149,381.071,0.0
34,3.9005,1412.16,753.41,0.260925,1,5,119.068,56.191,381.822,0.0
35,3.9992,1400.76,753.47,0.261143,1,5,115.829,56.074,381.081,0.0
36,4.0997,1375.74,752.69,0.260508,1,5,109.553,56.062,382.115,0.0
37,4.2007,1355.59,752.39,0.26113,1,5,103.42,55.533,379.083,0.0
38,4.2988,1335.52,752.06,0.261103,1,5,97.996,55.357,378.412,0.0
39,4.4005,1315.04,751.67,0.261026,1,5,93.18,55.539,380.445,0.0
40,4.5326,1301.71,751.33,0.261502,1,5,89.525,55.378,379.977,0.0
41,4.6332,1267.85,750.62,0.26133,1,5,80.331,54.961,378.367,0.0
42,4.7352,1247.51,750.11,0.26103,1,5,74.713,54.613,376.721,0.0
43,4.834,1227.24,749.72,0.261129,1,5,68.654,53.876,372.423,0.0
44,4.9338,1207.01,749.55,0.261543,1,5,63.431,53.788,372.406,0.0
45,5.0578,1193.66,749.22,0.261173,1,5,60.312,54.0,374.26,0.0
48,5.4022,1112.59,747.69,0.261339,1,5,39.405,53.584,374.061,0.0
49,5.5972,1085.94,747.13,0.26153,1,5,32.689,53.744,376.223,0.0
50,5.7008,1055.52,746.6,0.261546,1,5,24.941,53.904,378.318,0.0
51,5.8031,1039.42,746.41,0.261204,1,5,20.539,53.344,374.781,0.0
52,5.9012,1024.62,745.96,0.260632,1,5,16.892,53.794,378.659,0.0
53,6.0018,1011.43,745.82,0.261137,1,5,13.34,53.364,375.954,0.0
54,6.1018,999.58,745.49,0.261189,1,5,10.41,53.951,380.603,0.0
55,6.2011,989.33,745.27,0.261182,1,5,7.689,53.789,379.957,0.0
56,6.3009,980.63,745.2,0.260921,1,5,5.399,53.635,379.019,0.0
57,6.4023,973.32,745.09,0.260836,1,5,3.522,53.952,381.432,0.0
58,6.5009,967.59,745.04,0.260785,1,5,1.99,53.703,379.788,0.0
59,6.646,964.44,744.94,0.261118,1,5,1.169,53.721,380.092,0.0
60,6.77,959.35,744.82,0.260922,1,5,-0.166,53.71,380.22,0.0
61,6.8694,959.12,744.83,0.260796,1,5,-0.232,53.926,381.752,0.0
62,6.969,961.01,744.86,0.261124,1,5,0.269,53.833,381.017,0.0
63,7.1595,965.68,744.99,0.261146,1,5,1.507,53.911,381.429,0.0
64,7.2708,975.32,745.07,0.260558,1,5,4.01,53.596,378.956,0.0
65,7.4066,986.1,745.38,0.261204,1,5,6.863,53.836,380.214,0.0
66,7.5385,999.37,745.62,0.261182,1,5,10.302,53.789,379.294,0.0
67,7.6803,1011.19,745.76,0.260983,1,5,13.409,53.819,379.173,0.0
68,7.805,1034.17,746.27,0.260772,1,5,19.396,53.881,378.694,0.0
69,7.9384,1055.25,746.67,0.261662,1,5,24.729,53.559,375.947,0.0
70,8.0701,1079.15,747.02,0.261366,1,5,31.032,53.855,377.222,0.0
71,8.2039,1092.24,747.33,0.261317,1,5,34.386,53.857,376.669,0.0
72,8.3371,1132.59,747.91,0.261109,1,5,44.17,53.194,370.673,0.0
73,8.4712,1159.65,748.58,0.260999,1,5,51.907,54.189,376.729,0.0
74,8.6037,1186.72,749.11,0.260247,1,5,58.933,54.341,376.776,0.0
75,8.7245,1200.22,749.33,0.261488,1,5,62.134,54.123,375.092,0.0
76,8.8343,1233.78,749.79,0.260859,1,5,70.321,53.888,372.401,0.0
77,8.9365,1254.32,750.38,0.261538,1,5,76.276,54.5,375.858,0.0
78,9.0703,1281.08,750.89,0.260917,1,5,83.538,54.825,377.148,0.0
79,9.2541,1308.35,751.39,0.261586,1,5,90.714,55.031,377.673,0.0
80,9.3687,1341.94,752.1,0.260793,1,5,100.001,55.532,379.644,0.0
81,9.4672,1362.19,752.44,0.261254,1,5,105.842,55.921,381.635,0.0
82,9.5677,1382.01,752.96,0.260635,1,5,111.321,56.162,382.515,0.0
83,9.6662,1400.57,753.14,0.260891,1,5,116.763,56.491,384.294,0.0
84,9.7737,1412.06,753.36,0.261304,1,5,119.091,56.207,381.994,0.0
85,9.9041,1437.68,753.89,0.260707,1,5,125.751,56.328,381.814,0.0
86,10.0012,1451.08,754.14,0.260721,1,5,129.114,56.286,381.26,0.0
87,10.0996,1462.95,754.39,0.261051,1,5,132.56,56.481,382.276,0.0
88,10.1987,1473.36,754.4,0.26136,1,5,135.689,56.66,383.238,0.0
89,10.3004,1482.23,754.59,0.261281,1,5,137.844,56.639,382.718,0.0
90,10.3997,1489.61,754.59,0.261511,1,5,139.932,56.722,383.124,0.0
91,10.4991,1495.3,754.68,0.261242,1,5,141.063,56.611,382.224,0.0
92,10.6013,1499.84,754.85,0.261208,1,5,142.309,56.655,382.246,0.0
93,10.7012,1502.67,754.9,0.260745,1,5,143.231,56.732,382.681,0.0
94,10.8261,1503.77,754.95,0.260933,1,5,143.352,56.67,382.233,0.0
95,10.9352,1503.22,755.0,0.261221,1,5,143.025,56.608,381.791,0.0
96,11.036,1500.61,754.86,0.260609,1,5,142.16,56.514,381.3,0.0
97,11.1338,1496.62,755.01,0.261084,1,5,141.457,56.643,382.239,0.0
98,11.2365,1491.01,754.66,0.261309,1,5,140.344,56.742,383.207,0.0
99,11.3445,1486.43,754.61,0.261132,1,5,138.58,56.508,381.731,0.0
100,11.47,1472.29,754.51,0.261148,1,5,135.036,56.518,382.318,0.0
101,11.5678,1461.44,754.42,0.261131,1,5,132.216,56.501,382.428,0.0
102,11.6674,1449.47,754.11,0.260709,1,5,128.598,56.244,380.95,0.0
103,11.7777,1435.68,753.84,0.260857,1,5,125.232,56.301,381.738,0.0
104,11.8905,1425.85,753.72,0.26089,1,5,122.095,56.005,380.053,0.0
105,12.0011,1398.09,753.3,0.261001,1,5,115.255,56.113,381.476,0.0
106,12.1013,1379.42,752.87,0.260866,1,5,110.209,55.935,381.099,0.0
107,12.2004,1359.28,752.58,0.26124,1,5,104.86,55.82,380.757,0.0
108,12.3001,1339.3,752.07,0.261233,1,5,98.876,55.294,378.033,0.0
109,12.4008,1318.97,751.71,0.260858,1,5,94.062,55.451,379.832,0.0
110,12.5015,1298.82,751.17,0.260962,1,5,88.595,55.237,379.226,0.0
111,12.6012,1278.27,750.87,0.26065,1,5,83.191,55.107,378.916,0.0
112,12.7027,1258.25,750.48,0.261395,1,5,77.2,54.48,375.346,0.0
113,12.8383,1231.0,749.8,0.260853,1,5,70.335,54.45,376.156,0.0
114,12.9375,1224.21,749.54,0.261214,1,5,67.468,53.521,370.181,0.0
115,13.0705,1184.07,748.99,0.260871,1,5,58.062,54.124,375.618,0.0
116,13.1678,1163.46,748.57,0.261407,1,5,52.115,53.436,371.116,0.0
118,13.3685,1122.95,747.59,0.261942,1,5,41.194,52.469,366.165,0.0
119,13.4689,1102.9,747.63,0.261884,1,5,36.452,52.88,369.488,0.0
120,13.5692,1083.02,747.02,0.261406,1,5,31.679,53.269,372.87,0.0
121,13.6673,1064.56,746.83,0.261428,1,5,27.17,53.716,376.58,0.0
122,13.7678,1047.63,746.59,0.261357,1,5,22.769,53.559,376.189,0.0
123,13.8674,1032.14,746.14,0.260443,1,5,18.75,53.551,376.419,0.0
124,13.9646,1022.65,746.05,0.260725,1,5,16.283,53.522,376.634,0.0
125,14.0705,1005.52,745.7,0.261075,1,5,11.905,53.78,379.088,0.0
126,14.2051,991.18,745.45,0.261388,1,5,8.16,53.608,378.512,0.0
127,14.3377,979.49,745.2,0.260964,1,5,5.104,53.674,379.303,0.0
128,14.4975,972.53,744.98,0.260976,1,5,3.298,53.947,381.605,0.0
129,14.6033,963.98,744.89,0.261092,1,5,1.048,53.85,381.094,0.0
130,14.7389,960.27,744.82,0.261224,1,5,0.07,53.938,381.859,0.0
131,14.8694,959.02,744.82,0.260647,1,5,-0.259,53.925,381.749,0.0
132,15.0198,960.5,744.89,0.260875,1,5,0.133,53.76,380.49,0.0
133,15.137,966.38,744.98,0.26089,1,5,1.693,53.96,381.682,0.0
134,15.2777,974.06,745.08,0.260938,1,5,3.708,53.895,381.077,0.0
