frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
121,1.0958,513.8,1050.67,0.226881,apriltag,1.0,1,5,5:apriltag,-5.624,19.525,311.557,0.0,263
122,1.1,515.16,1059.05,0.226182,apriltag,1.0,1,5,5:apriltag,-5.383,21.369,312.065,0.0,264
123,1.1042,514.5,1070.5,0.226182,opencv,0.967,1,5,5:opencv,-5.768,24.993,,,265
124,1.1083,513.5,1083.5,0.226182,opencv,0.933,1,5,5:opencv,-5.994,27.933,,,266
125,1.1125,511.5,1096.5,0.226182,opencv,0.9,1,5,5:opencv,-6.446,30.874,,,267
126,1.1167,510.5,1110.5,0.226182,opencv,0.867,1,5,5:opencv,-6.672,34.04,,,268
127,1.1208,511.5,1124.5,0.226182,opencv,0.833,1,5,5:opencv,-6.446,37.207,,,269
128,1.125,512.5,1138.5,0.226182,opencv,0.8,1,5,5:opencv,-6.22,40.374,,,270
129,1.1292,512.5,1152.5,0.226182,opencv,0.767,1,5,5:opencv,-6.22,43.54,,,271
130,1.1333,510.5,1166.5,0.226182,opencv,0.733,1,5,5:opencv,-6.672,46.707,,,272
131,1.1375,509.5,1180.5,0.226182,opencv,0.7,1,5,5:opencv,-6.899,49.873,,,273
132,1.1417,509.5,1195.5,0.226182,opencv,0.667,1,5,5:opencv,-6.899,53.266,,,274
133,1.1458,509.5,1209.5,0.226182,opencv,0.633,1,5,5:opencv,-6.899,56.432,,,275
134,1.15,510.5,1223.5,0.226182,opencv,0.6,1,5,5:opencv,-6.672,59.599,,,276
135,1.1542,509.5,1238.5,0.226182,opencv,0.567,1,5,5:opencv,-6.899,62.992,,,277
136,1.1583,508.5,1252.5,0.226182,opencv,0.533,1,5,5:opencv,-7.125,66.158,,,278
137,1.1625,508.5,1266.5,0.226182,opencv,0.5,1,5,5:opencv,-7.125,69.325,,,279
138,1.1667,508.5,1280.5,0.226182,opencv,0.467,1,5,5:opencv,-7.125,72.491,,,280
139,1.1708,508.5,1295.5,0.226182,opencv,0.433,1,5,5:opencv,-7.125,75.884,,,281
140,1.175,508.5,1307.5,0.226182,opencv,0.4,1,5,5:opencv,-7.125,78.598,,,282
141,1.1792,507.74,1314.13,0.222101,apriltag,1.0,1,5,5:apriltag,-7.149,78.785,322.498,0.0,283
142,1.1833,506.37,1314.29,0.223569,apriltag,1.0,1,5,5:apriltag,-7.48,78.767,322.429,0.0,284
143,1.1875,506.5,1314.24,0.223635,apriltag,1.0,1,5,5:apriltag,-7.442,78.667,322.125,0.0,285
144,1.1917,507.7,1312.25,0.221191,apriltag,1.0,1,5,5:apriltag,-7.092,77.763,320.03,0.0,286
145,1.1958,509.0,1306.64,0.22339,apriltag,1.0,1,5,5:apriltag,-6.671,74.44,311.456,0.0,287
146,1.2,508.53,1297.77,0.225845,apriltag,1.0,1,5,5:apriltag,-6.688,71.724,307.934,0.0,288
147,1.2042,507.5,1287.0,0.225845,opencv,0.967,1,5,5:opencv,-7.34,73.851,,,289
148,1.2083,506.5,1276.0,0.225845,opencv,0.933,1,5,5:opencv,-7.566,71.367,,,290
149,1.2125,507.5,1262.0,0.225845,opencv,0.9,1,5,5:opencv,-7.34,68.205,,,291
150,1.2167,507.5,1248.0,0.225845,opencv,0.867,1,5,5:opencv,-7.34,65.043,,,292
151,1.2208,508.5,1233.0,0.225845,opencv,0.833,1,5,5:opencv,-7.114,61.656,,,293
152,1.225,509.5,1219.0,0.225845,opencv,0.8,1,5,5:opencv,-6.888,58.494,,,294
153,1.2292,510.5,1203.0,0.225845,opencv,0.767,1,5,5:opencv,-6.662,54.88,,,295
154,1.2333,510.5,1189.0,0.225845,opencv,0.733,1,5,5:opencv,-6.662,51.719,,,296
155,1.2375,509.5,1175.0,0.225845,opencv,0.7,1,5,5:opencv,-6.888,48.557,,,297
156,1.2417,509.5,1161.0,0.225845,opencv,0.667,1,5,5:opencv,-6.888,45.395,,,298
157,1.2458,509.5,1146.0,0.225845,opencv,0.633,1,5,5:opencv,-6.888,42.007,,,299
158,1.25,511.5,1132.0,0.225845,opencv,0.6,1,5,5:opencv,-6.437,38.845,,,300
159,1.2542,511.5,1117.0,0.225845,opencv,0.567,1,5,5:opencv,-6.437,35.458,,,301
160,1.2583,511.5,1102.0,0.225845,opencv,0.533,1,5,5:opencv,-6.437,32.07,,,302
161,1.2625,511.5,1088.0,0.225845,opencv,0.5,1,5,5:opencv,-6.437,28.908,,,303
162,1.2667,511.5,1074.0,0.225845,opencv,0.467,1,5,5:opencv,-6.437,25.746,,,304
163,1.2708,511.5,1060.0,0.225845,opencv,0.433,1,5,5:opencv,-6.437,22.585,,,305
164,1.275,514.34,1051.2,0.227375,apriltag,1.0,1,5,5:apriltag,-5.583,19.811,314.9,0.0,306
165,1.2792,516.12,1048.52,0.226896,apriltag,1.0,1,5,5:apriltag,-5.358,19.863,324.939,0.0,307
166,1.2833,516.24,1048.52,0.226197,apriltag,1.0,1,5,5:apriltag,-5.377,19.999,327.078,0.0,308
167,1.2875,514.27,1049.33,0.226767,apriltag,1.0,1,5,5:apriltag,-5.869,20.315,329.429,0.0,309
168,1.2917,512.43,1051.71,0.227836,apriltag,1.0,1,5,5:apriltag,-6.205,20.648,326.308,0.0,310
169,1.2958,512.59,1055.85,0.2278,apriltag,1.0,1,5,5:apriltag,-5.99,20.951,316.725,0.0,311
170,1.3,514.02,1062.25,0.227464,apriltag,1.0,1,5,5:apriltag,-5.524,21.796,308.66,0.0,312
171,1.3042,515.0,1072.0,0.227464,opencv,0.967,1,5,5:opencv,-5.687,25.476,,,313
172,1.3083,514.0,1084.0,0.227464,opencv,0.933,1,5,5:opencv,-5.914,28.206,,,314
173,1.3125,512.0,1098.0,0.227464,opencv,0.9,1,5,5:opencv,-6.369,31.39,,,315
