frame,time_s,position_mm,raw_x,raw_y
108,3.6077021822849806,-21.296223561988178,539,1054
109,3.6411068321209528,-17.70468961725025,539,1045
110,3.674511481956925,-14.911274326898528,539,1038
111,3.707916131792897,-13.315037018126116,539,1034
112,3.741320781628869,-13.315037018126116,539,1034
113,3.774725431464841,-13.315037018126116,539,1034
114,3.808130081300813,-13.730327369847412,538,1035
115,3.841534731136785,-15.326564678619825,538,1039
116,3.8749393809727573,-17.305630290057145,539,1044
117,3.9083440308087294,-19.683755228687577,540,1050
118,3.941748680644701,-22.477170519039298,540,1057
119,3.975153330480673,-25.68587616111231,539,1065
120,4.008557980316645,-28.89458180318533,538,1073
121,4.041962630152617,-32.08705642073016,538,1081
122,4.07536727998859,-34.880471711081874,538,1088
123,4.108771929824561,-38.4720056558198,538,1097
124,4.142176579660534,-41.28165197069971,537,1104
125,4.175581229496506,-44.47412658824454,537,1112
126,4.208985879332477,-47.66660120578936,537,1120
127,4.24239052916845,-51.25813515052729,537,1129
128,4.2757951790044215,-54.450609768072106,537,1137
